availability_text,average_rating,brand,care_instructions,category_breadcrumb,color_options,description,dimensions,image_count,image_url,images_list,is_sale,material_text,name,price_currency,price_current,price_original,product_id,product_url,promo_excluded,rating_count,review_count,scrape_date,sku,sold_shipped_by
,4.827814569536423,J.Crew,"Our customer-favorite bag comes in a slightly larger size, with just enough room for everything you need. It's finished with a refreshed, streamlined design, an adjustable shoulder strap, an interior card pocket and a magnetic closure—so it's as practical as it is polished. Please note: The color in this suede fabric may transfer and should be handled with care.",Home > women > bags,"[""Blonde Espresso""]","Our customer-favorite bag comes in a slightly larger size, with just enough room for everything you need. It's finished with a refreshed, streamlined design, an adjustable shoulder strap, an interior card pocket and a magnetic closure—so it's as practical as it is polished. Please note: The color in this suede fabric may transfer and should be handled with care.100% leather.Leather trim.Cotton lining.Adjustable strap.Hidden magnetic closure.Imported.Select stores.Item CM933.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles","10""H x 15""W x 3 1/4""D; 9""-11"" strap drop.",11,"https://www.jcrew.com/s7-img-facade/CM933_EE7690?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CM933_EE7690?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_v?hei=1700&crop=0,0,1360,0"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d2?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d3?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d4?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d5?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d2"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d3"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d4"", ""https://www.jcrew.com/s7-img-facade/CM933_EE7690_d5""]",True,100% leather. Leather trim. Cotton lining. Adjustable strap. Hidden magnetic closure. Imported. Select stores. Item CM933.,Berkeley shoulder bag in suede,USD,274.19,178,CM933,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CM933?display=all&fit=Classic&colorProductCode=CM933&colorCode=EE7690,,151,151,2026-02-23T12:56:40Z,CM933_EE7690,J.Crew
,4.0,J.Crew,"We took our signature Berkeley bucket bag and softened things up with a new all-suede exterior and a more casual, slouchy shape you'll want to tote around every day. Please note: The color in this fabric may transfer and should be handled with care.",Home > women > bags,"[""Darkest Indigo"", ""Berkeley bucket bag in suede DARKEST INDIGO""]","We took our signature Berkeley bucket bag and softened things up with a new all-suede exterior and a more casual, slouchy shape you'll want to tote around every day. Please note: The color in this fabric may transfer and should be handled with care.100% leather.Tie closure.Imported.Select stores.Item CM930.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles","12 1/2""H x 9""W x 5 7/8""D (bottom); 12 1/2""H x 13 1/4""W x 5 7/8""D (top). 9"" strap drop. Fits 14"" laptop.",8,"https://www.jcrew.com/s7-img-facade/CM930_BL7171_m?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CM930_BL7171_m?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CM930_BL7171_d1?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM930_BL7171_d2?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM930_BL7171?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM930_BL7171_m"", ""https://www.jcrew.com/s7-img-facade/CM930_BL7171_d1"", ""https://www.jcrew.com/s7-img-facade/CM930_BL7171_d2"", ""https://www.jcrew.com/s7-img-facade/CM930_BL7171""]",True,100% leather. Tie closure. Imported. Select stores. Item CM930.,Berkeley bucket bag in suede,USD,198,198,CM930,https://www.jcrew.com/m/womens/categories/accessories/bags/berkeley/ME606?display=all&fit=Classic&colorProductCode=CM930&colorCode=BL7171,,73,73,2026-02-23T12:56:54Z,CM930_BL7171,J.Crew
,4.703883495145631,J.Crew,Careers,Home > women > bags,"[""Black"", ""Delphine shoulder bag in leather BLACK""]","Our design team considered every detail to give this chic carryall a custom feel, from the double-zipper closure to the feet along the bottom that protect against wear and tear. But our favorite innovation has to be the contrast suede lining, which we bonded to the outside for a slouchy-yet-structured finish. Everyday, elevated—indeed.100% leather.Custom hardware.Lined in suede.Imported.Select stores.Item CM951.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles","5""H x 10""W x 4 1/4""D; 9 1/2"" strap drop.",6,"https://www.jcrew.com/s7-img-facade/CM951_BK0001?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CM951_BK0001?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CM951_BK0001_d3?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM951_BK0001_d4?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM951_BK0001"", ""https://www.jcrew.com/s7-img-facade/CM951_BK0001_d3"", ""https://www.jcrew.com/s7-img-facade/CM951_BK0001_d4""]",True,100% leather. Custom hardware. Lined in suede. Imported. Select stores. Item CM951.,Delphine shoulder bag in leather,USD,178,178,CM951,https://www.jcrew.com/m/womens/categories/accessories/bags/delphine/ME974?display=all&fit=Classic&colorProductCode=CM951&colorCode=BK0001,,206,206,2026-02-23T12:57:12Z,CM951_BK0001,J.Crew
,4.81858407079646,J.Crew,Careers,Home > women > bags,"[""Radiant Ruby"", ""Berkeley small shoulder bag in suede RADIANT RUBY""]","Part of our best-selling Berkeley family, this soft suede style can be worn as a shoulder bag or crossbody, thanks to the adjustable strap. It's finished with signature gold-tone hardware and is just roomy enough for your essentials—plus your current book-club read.100% leather.Leather trim.Cotton lining.Removable adjustable crossbody strap.Hidden magnetic closure.Imported.Select stores.Item CM935.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles","5 3/4""H x 9 7/8""W x 4"" D; 5 1/2""-7 1/2"" strap drop.",10,"https://www.jcrew.com/s7-img-facade/CM935_RD0136?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CM935_RD0136?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_d6?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_d8?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_d9?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_ed?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_d6"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_d8"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_d9"", ""https://www.jcrew.com/s7-img-facade/CM935_RD0136_ed""]",False,100% leather. Leather trim. Cotton lining. Removable adjustable crossbody strap. Hidden magnetic closure. Imported. Select stores. Item CM935.,Berkeley small shoulder bag in suede,USD,148,148,CM935,https://www.jcrew.com/m/womens/categories/accessories/bags/berkeley/ME975?display=all&fit=Classic&colorProductCode=CM935&colorCode=RD0136,,226,226,2026-02-23T12:57:26Z,CM935_RD0136,J.Crew
,4.6521739130434785,J.Crew,"Part of our best-selling Berkeley family, this suede shoulder bag comes in a slightly larger size, with just enough room for everything you need. It's finished with a sleek chainlink strap, a refreshed streamlined design, an interior card pocket and a magnetic closure—so it's as practical as it is polished. Please note: The color in this fabric may transfer and should be handled with care.",Home > women > bags,"[""Warmed Walnut""]","Part of our best-selling Berkeley family, this suede shoulder bag comes in a slightly larger size, with just enough room for everything you need. It's finished with a sleek chainlink strap, a refreshed streamlined design, an interior card pocket and a magnetic closure—so it's as practical as it is polished. Please note: The color in this fabric may transfer and should be handled with care.100% leather.Leather trim.Cotton lining.Hidden magnetic closure.Imported.Select stores.Item CM934.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles","10""H x 15""W x 3 1/4""D. 11"" strap drop.",12,"https://www.jcrew.com/s7-img-facade/CM934_BR8760_m?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CM934_BR8760_m?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d1?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d3?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d4?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d5?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_m"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d1"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d3"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d4"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760_d5"", ""https://www.jcrew.com/s7-img-facade/CM934_BR8760""]",True,100% leather. Leather trim. Cotton lining. Hidden magnetic closure. Imported. Select stores. Item CM934.,Berkeley chainlink shoulder bag in suede,USD,366.6,238,CM934,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CM934?display=all&fit=Classic&colorProductCode=CM934&colorCode=BR8760,,92,92,2026-02-23T12:57:37Z,CM934_BR8760,J.Crew
,4.568627450980392,J.Crew,Careers,Home > women > bags,"[""Black"", ""Drawstring pouch bag in leather BLACK""]","Bring this sleek, statement-making drawstring bag to your next party for all the compliments. Because we love options, it comes with a removable top handle, so you can wear it on your arm or hold it as a clutch.Leather.Imported.Select stores.Item CP050.","6 1/4""H x 7 3/4""W x 2 5/8""D; 7"" handle drop.",9,"https://www.jcrew.com/s7-img-facade/CP050_BK0001?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CP050_BK0001?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001_v?hei=1700&crop=0,0,1360,0"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001_d3?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001_d4?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001_d6?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001_d3"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001_d4"", ""https://www.jcrew.com/s7-img-facade/CP050_BK0001_d6""]",True,Leather. Imported. Select stores. Item CP050.,Drawstring pouch bag in leather,USD,148,148,CP050,https://www.jcrew.com/m/womens/categories/accessories/bags/clutches-and-pouches/ME782?display=all&fit=Classic&colorProductCode=CP050&colorCode=BK0001,,51,51,2026-02-23T12:57:58Z,CP050_BK0001,J.Crew
,4.857142857142857,J.Crew,"Part of our best-selling Berkeley family, this structured shoulder bag comes in a slightly smaller size with just enough room for your essentials—plus your current book-club read. It's finished with a zipper closure, inner pockets and croc-embossed leather handles, aka the easiest way to add extra polish. Please note: The color in this fabric may transfer and should be handled with care.",Home > women > bags,"[""Chocolate Berry""]","Part of our best-selling Berkeley family, this structured shoulder bag comes in a slightly smaller size with just enough room for your essentials—plus your current book-club read. It's finished with a zipper closure, inner pockets and croc-embossed leather handles, aka the easiest way to add extra polish. Please note: The color in this fabric may transfer and should be handled with care.Suede body.Leather handles.Imported.Select stores.Item CR297.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles","6""H x 12 3/4""W. 8 1/2"" strap drop.",11,"https://www.jcrew.com/s7-img-facade/CR297_BR8801_m?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CR297_BR8801_m?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_v?hei=1700&crop=0,0,1360,0"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_d1?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_d3?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_d4?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_m"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_d1"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_d3"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801_d4"", ""https://www.jcrew.com/s7-img-facade/CR297_BR8801""]",True,Suede body. Leather handles. Imported. Select stores. Item CR297.,Berkeley structured shoulder bag in suede and croc-embossed leather,USD,289.58,188,CR297,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CR297?display=all&fit=Classic&colorProductCode=CR297&colorCode=BR8801,,7,7,2026-02-23T12:58:31Z,CR297_BR8801,J.Crew
,4.556451612903226,J.Crew,"!function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BMA96-GWB3E-3GWM5-SVCSA-YNXVK"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(new Date).getTime(),e=e||d.body,e.appendChild(t)},!window.addEventListener&&window.attachEvent&&navigator.userAgent.match(/MSIE [67]\./))return window.BOOMR.snippetMethod=""s"",void t(i.parentNode,""boomr-async"");a=document.createElement(""IFRAME""),a.src=""about:blank"",a.title="""",a.role=""presentation"",a.loading=""eager"",r=(a.frameElement||a).style,r.width=0,r.height=0,r.border=0,r.display=""none"",i.parentNode.appendChild(a);try{O=a.contentWindow,d=O.document.open()}catch(_){n=document.domain,a.src=""javascript:var d=document.open();d.domain='""+n+""';void(0);"",O=a.contentWindow,d=O.document.open()}if(n)d._boomrl=function(){this.domain=n,t()},d.write(""<bo""+""dy onload='document._boomrl();'>"");else if(O._boomrl=function(){t()},O.addEventListener)O.addEventListener(""load"",O._boomrl,!1);else if(O.attachEvent)O.attachEvent(""onload"",O._boomrl);d.close()}function a(e){window.BOOMR_onload=e&&e.timeStamp||(new Date).getTime()}if(!window.BOOMR||!window.BOOMR.version&&!window.BOOMR.snippetExecuted){window.BOOMR=window.BOOMR||{},window.BOOMR.snippetStart=(new Date).getTime(),window.BOOMR.snippetExecuted=!0,window.BOOMR.snippetVersion=12,window.BOOMR.url=n+""BMA96-GWB3E-3GWM5-SVCSA-YNXVK"";var i=document.currentScript||document.getElementsByTagName(""script"")[0],o=!1,r=document.createElement(""link"");if(r.relList&&""function""==typeof r.relList.supports&&r.relList.supports(""preload"")&&""as""in r)window.BOOMR.snippetMethod=""p"",r.href=window.BOOMR.url,r.rel=""preload"",r.as=""script"",r.addEventListener(""load"",e),r.addEventListener(""error"",function(){t(!0)}),setTimeout(function(){if(!o)t(!0)},3e3),BOOMR_lstart=(new Date).getTime(),i.parentNode.appendChild(r);else t(!1);if(window.addEventListener)window.addEventListener(""load"",a,!1);else if(window.attachEvent)window.attachEvent(""onload"",a)}}(),"""".length>0)if(e&&""performance""in e&&e.performance&&""function""==typeof e.performance.setResourceTimingBufferSize)e.performance.setResourceTimingBufferSize();!function(){if(BOOMR=e.BOOMR||{},BOOMR.plugins=BOOMR.plugins||{},!BOOMR.plugins.AK){var n=""true""==""true""?1:0,t=""cookiepresent"",a=""wzgtv2qx3ls3w2m4j34a-f-853d24bfb-clientnsv4-s.akamaihd.net"",i=""false""==""true""?2:1,o={""ak.v"":""39"",""ak.cp"":""690450"",""ak.ai"":parseInt(""186607"",10),""ak.ol"":""0"",""ak.cr"":12,""ak.ipv"":4,""ak.proto"":""h2"",""ak.rid"":""e5b4762a"",""ak.r"":50702,""ak.a2"":n,""ak.m"":""x"",""ak.n"":""essl"",""ak.bpcip"":""182.77.58.0"",""ak.cport"":58764,""ak.gh"":""23.48.245.229"",""ak.quicv"":"""",""ak.tlsv"":""tls1.3"",""ak.0rtt"":"""",""ak.0rtt.ed"":"""",""ak.csrc"":""-"",""ak.acc"":"""",""ak.t"":""1771851512"",""ak.ak"":""hOBiQwZUYzCg5VSAfCLimQ==u1+yROp5vYMyXM+Ui7q0t1v3/rXq2oCuAeFVXLo2bVO9Nhz3tFFZFtUESLsHrU/l3fn5WrX87tMIA2FNaBfFomjtAHOR8CnXU/cLijxUAOk9eYxc+2YyN+gaKjWa8T9L8CqnfQImkhIKNLOa1HQwQk1ygwByqj8SV+a8T5dvsZ+AHUaoQOfx91Smrc4U93XtQ3hdMcgliCaREmHcZ3X8cfg5PyRecUF4wJjZZ7prVNV0sYNOUhSk4EOdxEhXJ4IYPLlRuG4DEUKbNVwqOuMI95pMIdUUNNQiDDQXebOo80OMqYHMtBfyRcUe2MnLQCLXzX141KvV7UD/QgQcqGQdBPddIp30ypqthb+yvDX3MpOcMAPnE3tMos7V0hrV8JLoWZlKuy5yecdWCJNNhVpAWL1jhzT6pUQbctsLKpZPDRA="",""ak.pv"":""847"",""ak.dpoabenc"":"""",""ak.tf"":i};if(""""!==t)o[""ak.ruds""]=t;var r={i:!1,av:function(n){var t=""http.initiator"";if(n&&(!n[t]||""spa_hard""===n[t]))o[""ak.feo""]=void 0!==e.aFeoApplied?1:0,BOOMR.addVar(o)},rv:function(){var e=[""ak.bpcip"",""ak.cport"",""ak.cr"",""ak.csrc"",""ak.gh"",""ak.ipv"",""ak.m"",""ak.n"",""ak.ol"",""ak.proto"",""ak.quicv"",""ak.tlsv"",""ak.0rtt"",""ak.0rtt.ed"",""ak.r"",""ak.acc"",""ak.t"",""ak.tf""];BOOMR.removeVar(e)}};BOOMR.plugins.AK={akVars:o,akDNSPreFetchDomain:a,init:function(){if(!r.i){var e=BOOMR.subscribe;e(""before_beacon"",r.av,null,null),e(""onbeacon"",r.rv,null,null),r.i=!0}return this},is_complete:function(){return!0}}}}()}(window);",Home > women > bags,"[""Natural""]","Our latest style makes lugging everything around so cute and easy (including itself, since you can fold it neatly to store in your trunk or luggage). Inside, you'll also find an interior pocket so that essentials like your keys, sunglasses and SPF won't get lost.Paper.Leather lining.Imported.Select stores.Item BZ445.","12 1/2""H x 12 1/2""W x 12 1/2""D; 9"" handle drop.",8,"https://www.jcrew.com/s7-img-facade/BZ445_NA6445?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/BZ445_NA6445?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/BZ445_NA6445_d4?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/BZ445_NA6445_d5?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/BZ445_NA6445_d6?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/BZ445_NA6445"", ""https://www.jcrew.com/s7-img-facade/BZ445_NA6445_d4"", ""https://www.jcrew.com/s7-img-facade/BZ445_NA6445_d5"", ""https://www.jcrew.com/s7-img-facade/BZ445_NA6445_d6""]",False,Paper. Leather lining. Imported. Select stores. Item BZ445.,Large handknotted packable tote bag,USD,274.19,178,BZ445,https://www.jcrew.com/p/womens/categories/accessories/bags/straw/BZ445?display=all&fit=Classic&colorProductCode=BZ445&colorCode=NA6445,,124,124,2026-02-23T12:59:03Z,BZ445_NA6445,J.Crew
,4.8493150684931505,J.Crew,Careers,Home > women > bags,"[""Sea Salt Crimson Cinder""]",this eye-catching tote is along for every spring adventure.Cotton.Import.Item BM842.,"15 1/2""H x 17""W x 2 5/8""D; 10"" handle drop.",2,"https://www.jcrew.com/s7-img-facade/BM842_PT8750?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/BM842_PT8750?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/BM842_PT8750""]",False,Cotton. Import. Item BM842.,Printed reusable everyday tote,USD,30.04,,BM842,https://www.jcrew.com/p/womens/categories/accessories/bags/shoulder-bags/BM842?display=all&fit=Classic&colorProductCode=BM842&colorCode=PT8750,,73,73,2026-02-23T12:59:35Z,BM842_PT8750,J.Crew
,5.0,J.Crew,Careers,Home > women > bags,"[""Washed Brown""]","We took our signature tote and sized it up—making room for everything you need (and then some). With a slightly more structured silhouette, sleek flap closure and an extra-spacious interior, it's the all-day, everyday bag you've been waiting for. Plus, you'll love the expertly treated leather with a soft, lived-in patina (aka natural marks that add heritage-inspired character).100% leather.Cotton lining.Imported.Select stores.Item CR874.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles","10 1/2""H x 15 7/8""W x 7 1/4""D. 8 1/2"" strap drop.",12,"https://www.jcrew.com/s7-img-facade/CR874_EE9608?hei=1950&crop=0,0,1560,0","[""https://www.jcrew.com/s7-img-facade/CR874_EE9608?hei=1950&crop=0,0,1560,0"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d2?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d3?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d4?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d5?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d6?hei=1080&crop=0,0,864,0"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d2"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d3"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d4"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d5"", ""https://www.jcrew.com/s7-img-facade/CR874_EE9608_d6""]",False,100% leather. Cotton lining. Imported. Select stores. Item CR874.,Berkeley large tote in leather,USD,505.22,328,CR874,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CR874?display=all&fit=Classic&colorProductCode=CR874&colorCode=EE9608,,1,1,2026-02-23T13:00:07Z,CR874_EE9608,J.Crew
