availability_text,average_rating,best_seller_flag,brand,care_instructions,category_breadcrumb,color_options,description,dimensions,dimensions_section,image_count,image_url,images_list,is_sale,material_text,materials_section,name,new_arrival_flag,price_currency,price_current,price_original,product_details,product_id,product_url,promo_excluded,rating_count,review_count,scrape_date,size_options,sku,sold_shipped_by
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,blue | red,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp.,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,1,https://img.abercrombie.com/is/image/anf/KIC_154-5127-00009-202_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5127-00009-202_prod1,False,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,Knitted Sweater Bag Charm,False,USD,3265.81,,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Body:100% Acrylic / Chain:100% Non-Precious Metal | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61210335?categoryId=12281&faceout=prod&seq=04,,,,2026-02-23,ONE SIZE,61210335,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,blue | red,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp.,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,1,https://img.abercrombie.com/is/image/anf/KIC_154-5127-00009-202_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5127-00009-202_prod1,False,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,Knitted Sweater Bag Charm,False,USD,3265.81,,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Body:100% Acrylic / Chain:100% Non-Precious Metal | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61210335?categoryId=12281&faceout=prod&seq=04&pagefm=navigation-grid&prodvm=navigation-grid,,,,2026-02-23,ONE SIZE,61210335,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,blue | red,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp.,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,1,https://img.abercrombie.com/is/image/anf/KIC_154-5123-00010-501_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5123-00010-501_prod1,False,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,Knitted Sweater Bag Charm,False,USD,3265.81,,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Body:100% Acrylic / Chain:100% Non-Precious Metal | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61210335?categoryId=12281&faceout=prod&seq=05&pagefm=navigation-grid&prodvm=navigation-grid,,,,2026-02-23,ONE SIZE,61210335,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,blue | red,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp.,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,1,https://img.abercrombie.com/is/image/anf/KIC_154-5123-00010-501_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5123-00010-501_prod1,False,Body:100% Acrylic / Chain:100% Non-Precious Metal,Body:100% Acrylic / Chain:100% Non-Precious Metal,Knitted Sweater Bag Charm,False,USD,3265.81,,Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small sweater-shaped bag charm with a metal clasp. | Body:100% Acrylic / Chain:100% Non-Precious Metal | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61210335?categoryId=12281&faceout=prod&seq=05,,,,2026-02-23,ONE SIZE,61210335,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,light blue | navy blue | red | blue,Jewelry for your bag - a small shell-shaped bag charm with a metal clasp.,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,1,https://img.abercrombie.com/is/image/anf/KIC_154-5276-00003-200_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5276-00003-200_prod1,False,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Beaded Shell Bag Charm,False,USD,2332.72,,Jewelry for your bag - a small shell-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small shell-shaped bag charm with a metal clasp. | Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61628819?categoryId=12281&faceout=prod&seq=01,,,,2026-02-23,ONE SIZE,61628819,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,light blue | navy blue | red | blue,Jewelry for your bag - a small shell-shaped bag charm with a metal clasp.,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,1,https://img.abercrombie.com/is/image/anf/KIC_154-5276-00003-200_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5276-00003-200_prod1,False,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Beaded Shell Bag Charm,False,USD,2332.72,,Jewelry for your bag - a small shell-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small shell-shaped bag charm with a metal clasp. | Bead 2:100% Glass / Bead:100% Plastic / Body:100% Polyester / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61628819?categoryId=12281&faceout=prod&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,,,,2026-02-23,ONE SIZE,61628819,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,light blue | navy blue | red | blue,Jewelry for your bag - a beaded bag charm with a metal clasp.,,,1,https://img.abercrombie.com/is/image/anf/KIC_154-5277-00005-201_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5277-00005-201_prod1,False,100% Non-Precious Metal100% Non-Precious Metal / Beads:100% Acrylic / Stone:100% Natural Stone,100% Non-Precious Metal100% Non-Precious Metal / Beads:100% Acrylic / Stone:100% Natural Stone,Beaded Bag Charm,False,USD,1866.18,,Jewelry for your bag - a beaded bag charm with a metal clasp. | Features: Jewelry for your bag - a beaded bag charm with a metal clasp. | 100% Non-Precious Metal100% Non-Precious Metal / Beads:100% Acrylic / Stone:100% Natural Stone | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61628819?categoryId=12281&faceout=prod&seq=02&pagefm=navigation-grid&prodvm=navigation-grid,,,,2026-02-23,ONE SIZE,61628819,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,light blue | navy blue | red | blue,Jewelry for your bag - a beaded bag charm with a metal clasp.,,,1,https://img.abercrombie.com/is/image/anf/KIC_154-5277-00005-201_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5277-00005-201_prod1,False,100% Non-Precious Metal100% Non-Precious Metal / Beads:100% Acrylic / Stone:100% Natural Stone,100% Non-Precious Metal100% Non-Precious Metal / Beads:100% Acrylic / Stone:100% Natural Stone,Beaded Bag Charm,False,USD,1866.18,,Jewelry for your bag - a beaded bag charm with a metal clasp. | Features: Jewelry for your bag - a beaded bag charm with a metal clasp. | 100% Non-Precious Metal100% Non-Precious Metal / Beads:100% Acrylic / Stone:100% Natural Stone | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61628819?categoryId=12281&faceout=prod&seq=02,,,,2026-02-23,ONE SIZE,61628819,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,light blue | navy blue | red | blue,Jewelry for your bag - a small shrimp-shaped bag charm with a metal clasp.,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,1,https://img.abercrombie.com/is/image/anf/KIC_154-5275-00008-500_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5275-00008-500_prod1,False,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Knitted Shrimp Bag Charm,False,USD,2332.72,,Jewelry for your bag - a small shrimp-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small shrimp-shaped bag charm with a metal clasp. | Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61628819?categoryId=12281&faceout=prod&seq=03,,,,2026-02-23,ONE SIZE,61628819,
,,,Abercrombie,Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,Women's > Women's > Accessories > Accessories > Bags & Bag Charms > Bags & Bag Charms,light blue | navy blue | red | blue,Jewelry for your bag - a small shrimp-shaped bag charm with a metal clasp.,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,1,https://img.abercrombie.com/is/image/anf/KIC_154-5275-00008-500_prod1,https://img.abercrombie.com/is/image/anf/KIC_154-5275-00008-500_prod1,False,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers,Knitted Shrimp Bag Charm,False,USD,2332.72,,Jewelry for your bag - a small shrimp-shaped bag charm with a metal clasp. | Features: Jewelry for your bag - a small shrimp-shaped bag charm with a metal clasp. | Body:100% Viscose / Chain:100% Non-Precious Metal / Filling:100% Polyester Fibers | Do not bleach | Do not dry clean | Do not iron | Do not tumble dry | Do not wash | Spot clean,,https://www.abercrombie.com/shop/wd/p/bag-charm-61628819?categoryId=12281&faceout=prod&seq=03&pagefm=navigation-grid&prodvm=navigation-grid,,,,2026-02-23,ONE SIZE,61628819,
