rating_count,image_count,mission_tags,review_count,segment_label,description,title,images_list,category_breadcrumb,price_currency,scrape_date,price_current,url,subcluster_label,dimensions,subcluster,average_rating,color_options,name,image_url,product_url,brand,product_id,material_text,is_sale,rating,best_seller,is_new,colors,in_stock,price_original,price_regular,care_instructions,sku,availability_text,promo_excluded,sold_shipped_by,price_band,price_numeric,rating_quadrant,color_count,color_family,kw_tote,kw_clutch,kw_backpack,kw_crossbody,kw_convertible,kw_quilted,kw_faux_leather,kw_laptop,kw_organizer,kw_mini,kw_drawstring,is_clearance,style_text,cluster_kmeans,pca_x,pca_y,cluster_hdbscan,umap_x,umap_y,score_weight
90.0,1,occasion_glam|value_mass,90,Wallets,Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle; Bag structure: Unstructured; Interior features: Credit Card Pockets; Exterior features: Detachable Handle,Kiss Lock Clutch Bag - A New Day™ Black,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",USD,2026-02-23T16:44:52.645735,30,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,Wallets | wallet / solid | Budget,7 Inches (H) x 13.5 Inches (W) x 5 Inches (D),19,4.4,Black,Kiss Lock Clutch Bag - A New Day™ Black,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,A New Day,94687138,Polyurethane,False,4.4,False,False,Black,False,,,,,,,,20-40,30.0,Proven winner,1,black,False,True,False,False,False,False,False,False,False,False,False,False,"Kiss Lock Clutch Bag - A New Day™ Black | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Black",0,0.117154926,-0.10319361,-1,3.8141577,7.815789,19.84778182867414
11.0,1,eco_conscious|weekend_bucket,11,Shop All Accessories,Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure; Bag structure: Softside; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",USD,2026-02-23T16:44:52.646741,35,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,Shop All Accessories | bag / kids | Mid,14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D),28,3.9,Pink,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,Universal Thread,94776900,100% Recycled Polyester,False,3.9,False,False,Pink,False,,,,,,,,20-40,35.0,Market mismatch,1,pastel,True,False,False,False,False,True,False,False,False,False,True,False,"Quilted Drawstring Tote Handbag - Universal Thread™ Pink | Universal Thread | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Pink",1,0.15388677,0.14899419,-1,5.587951,9.798486,9.691135934173202
29.0,1,micro_mini_impulse|gifting_ready,29,"Bags, Scarves & More",Gold-tone chain bag charm; Metal construction; Five heart-shaped charms with printed phrases; Additional small gold-tone heart charms; Lobster claw clasp closure; Suggested for ages 15 and up,Conversation Heart Bag Charm - A New Day™,https://target.scene7.com/is/image/Target/GUEST_faba82f4-1b2d-4a51-8bea-67318e006232?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Bag Charms & Straps",USD,2026-02-23T16:44:52.646741,8.5,https://www.target.com/p/conversation-heart-bag-charm-a-new-day-8482/-/A-94794411#lnk=sametab,"Bags, Scarves & More | bag / charm | Mid","11.42 Inches (L), 1.36 Inches (W)",13,4.8,,Conversation Heart Bag Charm - A New Day™,https://target.scene7.com/is/image/Target/GUEST_faba82f4-1b2d-4a51-8bea-67318e006232?wid=1200&hei=1200&qlt=85,https://www.target.com/p/conversation-heart-bag-charm-a-new-day-8482/-/A-94794411#lnk=sametab,A New Day,94794411,Zinc Alloy,True,4.8,False,False,,False,10,10,,,,,,0-20,8.5,Proven winner,0,unknown,False,False,False,False,False,False,False,False,False,False,False,False,"Conversation Heart Bag Charm - A New Day™ | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Bag Charms & Straps",2,-0.20632905,0.19809037,-1,8.873072,9.1484165,16.325747431978346
14.0,1,occasion_glam|convertible_multiway|value_mass,14,"Bags, Scarves & More",Kiss structured clutch; Red polyurethane shell with vinyl finish; Zip-closure main compartment; Detachable metal shoulder strap; Bag structure: Structured; Interior features: No Compartments or Pockets; Exterior features: Detachable Straps,Kiss Lip Clutch - A New Day™ Red,https://target.scene7.com/is/image/Target/GUEST_82702f88-fb01-4f54-af1c-b284eeacb30e?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",USD,2026-02-23T16:44:52.646741,25.5,https://www.target.com/p/kiss-lip-clutch-a-new-day-8482-red/-/A-94742363#lnk=sametab,"Bags, Scarves & More | charm / bag | Mid",5.75 Inches (H) x 8.5 Inches (W) x 2.75 Inches (D),14,4.6,Red,Kiss Lip Clutch - A New Day™ Red,https://target.scene7.com/is/image/Target/GUEST_82702f88-fb01-4f54-af1c-b284eeacb30e?wid=1200&hei=1200&qlt=85,https://www.target.com/p/kiss-lip-clutch-a-new-day-8482-red/-/A-94742363#lnk=sametab,A New Day,94742363,Metal,True,4.6,False,False,Red,False,30,30,,,,,,20-40,25.5,Proven winner,1,bold,False,True,False,False,False,False,False,False,False,False,False,False,"Kiss Lip Clutch - A New Day™ Red | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Red",4,-0.11615978,-0.12211002,-1,4.0420814,8.119546,12.457030925070166
16.0,1,slg_small_leathers|value_mass,16,Shoulder Bags,Conversation heart wristlet wallet; Polyurethane construction; Zip closure; Detachable loop strap; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,Conversation Heart Wristlet - A New Day™ Pink,https://target.scene7.com/is/image/Target/GUEST_c3bcb3dd-0448-4197-8fb6-6c8c4ea780b6?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",USD,2026-02-23T16:44:52.646741,12.75,https://www.target.com/p/conversation-heart-wristlet-a-new-day/-/A-94781667?preselect=94742362#lnk=sametab,Shoulder Bags | bag / handbag | Mid,4.5 Inches (H) x 4.75 Inches (W) x .75 Inches (D),42,4.6,Pink,Conversation Heart Wristlet - A New Day™ Pink,https://target.scene7.com/is/image/Target/GUEST_c3bcb3dd-0448-4197-8fb6-6c8c4ea780b6?wid=1200&hei=1200&qlt=85,https://www.target.com/p/conversation-heart-wristlet-a-new-day/-/A-94781667?preselect=94742362#lnk=sametab,A New Day,94742362,Polyurethane,True,4.6,False,False,Pink,False,15,15,,,,,,0-20,12.75,Proven winner,1,pastel,False,False,False,False,False,False,False,False,False,False,False,False,"Conversation Heart Wristlet - A New Day™ Pink | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Pink",0,-0.10854408,0.06853857,-1,4.991282,9.188199,13.032781382658593
9.0,1,occasion_glam|gifting_ready,9,Wallets,"Crescent-shape minaudiere clutch; Crafted from acrylic shell; Clasp closure; Top carrying handle; Bag structure: Hardside, Structured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets",Crescent Marble Minaudiere Clutch - A New Day™ Pink,https://target.scene7.com/is/image/Target/GUEST_2383dd5a-cb9c-4806-bd55-6769489211e9?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",USD,2026-02-23T16:44:52.646741,40,https://www.target.com/p/crescent-marble-minaudiere-clutch-a-new-day/-/A-94781668?preselect=94742370#lnk=sametab,Wallets | wallet / solid | Budget,8.62 Inches (H) x 9.05 Inches (W) x 1.96 Inches (D),19,3.9,Pink,Crescent Marble Minaudiere Clutch - A New Day™ Pink,https://target.scene7.com/is/image/Target/GUEST_2383dd5a-cb9c-4806-bd55-6769489211e9?wid=1200&hei=1200&qlt=85,https://www.target.com/p/crescent-marble-minaudiere-clutch-a-new-day/-/A-94781668?preselect=94742370#lnk=sametab,A New Day,94742370,Acrylic,False,3.9,False,False,Pink,False,,,,,,,,40-70,40.0,Market mismatch,1,pastel,False,True,False,False,False,False,False,False,False,False,False,False,"Crescent Marble Minaudiere Clutch - A New Day™ Pink | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Pink",0,-0.042297456,0.031284302,-1,4.488693,8.56127,8.980081862676778
390.0,1,weekend_bucket|oversized_carryall|value_mass,390,Shoulder Bags,Faux leather slouchy shoulder bag; Polyurethane shell; Unstructured; No interior or exterior compartments; Magnetic closure; Carrying handle; 10.5in H 15.75in W x 5in D; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,Oversized Slouchy Shoulder Bag - Universal Thread™ Black,https://target.scene7.com/is/image/Target/GUEST_21c648d2-b83a-49d5-ad4a-bee5938769eb?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",USD,2026-02-23T16:44:52.646741,35,https://www.target.com/p/oversized-slouchy-shoulder-bag-universal-thread/-/A-94248767?preselect=94172689#lnk=sametab,Shoulder Bags | handbag / universal | Mid,10.5 Inches (H) x 15.75 Inches (W) x 5 Inches (D),48,4.3,Black,Oversized Slouchy Shoulder Bag - Universal Thread™ Black,https://target.scene7.com/is/image/Target/GUEST_21c648d2-b83a-49d5-ad4a-bee5938769eb?wid=1200&hei=1200&qlt=85,https://www.target.com/p/oversized-slouchy-shoulder-bag-universal-thread/-/A-94248767?preselect=94172689#lnk=sametab,Universal Thread,94172689,Polyurethane,False,4.3,False,False,Black,False,,,,,,,,20-40,35.0,Proven winner,1,black,False,False,False,False,False,False,False,False,False,False,False,False,"Oversized Slouchy Shoulder Bag - Universal Thread™ Black | Universal Thread | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Black",0,0.29224145,-0.01233891,61,4.6662664,6.5698853,25.665442507937072
133.0,1,travel_utility|oversized_carryall|eco_conscious|convertible_multiway,133,Shoulder Bags,"Keep yourself ready for quick trips with the Foundational Weekender Bag from Universal Thread™. This unstructured weekender bag features interior and exterior pockets to help provide ample space for your essential items. Designed with a removable strap and double handles, it offers multiple carrying options for your convenience. Universal Thread™: Found exclusively at Target.; Bag structure: Unstructured; Interior features: Zip Pocket, Accessories Pocket; Exterior features: Detachable Strap, Front Zip Pocket","Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",https://target.scene7.com/is/image/Target/GUEST_b2e9698f-b9d1-4304-a4c7-a312383c87ec?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Weekender Bags",USD,2026-02-23T16:44:52.646741,40,https://www.target.com/p/foundational-weekender-bag-universal-thread/-/A-92750865?preselect=92450022#lnk=sametab,Shoulder Bags | bag / handbag | Mid,15 Inches (H) x 23 Inches (W) x 9 Inches (D),42,4.6,Brown,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",https://target.scene7.com/is/image/Target/GUEST_b2e9698f-b9d1-4304-a4c7-a312383c87ec?wid=1200&hei=1200&qlt=85,https://www.target.com/p/foundational-weekender-bag-universal-thread/-/A-92750865?preselect=92450022#lnk=sametab,Universal Thread,92450022,Polyester,False,4.6,False,False,Brown,False,,,,,,,,40-70,40.0,Proven winner,1,neutral,False,False,False,False,False,False,False,False,False,False,False,False,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches | Universal Thread | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Weekender Bags | Brown",1,0.27701595,-0.059671808,-1,4.1915236,10.500635,22.53006307977419
236.0,1,work_tote|value_mass,236,Shoulder Bags,Triple compartment tote handbag; Main compartment with zipper closure; Interior pocket; Double handles; Bag structure: Unstructured; Interior features: Accessories Pocket; Exterior features: No Compartments or Pockets,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",https://target.scene7.com/is/image/Target/GUEST_fbb80f99-6aed-4e26-8c6c-83e57f76035a?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",USD,2026-02-23T16:44:52.646741,35,https://www.target.com/p/triple-compartment-work-tote-handbag-a-new-day/-/A-90564596?preselect=90367010#lnk=sametab,Shoulder Bags | handbag / universal | Mid,13.39 Inches (H) x 21.26 Inches (W) x 6.3 Inches (D),48,4.1,Black,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",https://target.scene7.com/is/image/Target/GUEST_fbb80f99-6aed-4e26-8c6c-83e57f76035a?wid=1200&hei=1200&qlt=85,https://www.target.com/p/triple-compartment-work-tote-handbag-a-new-day/-/A-90564596?preselect=90367010#lnk=sametab,A New Day,90367010,Polyurethane,False,4.1,False,False,Black,False,,,,,,,,20-40,35.0,Proven winner,1,black,True,False,False,False,False,False,False,False,False,False,False,False,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Black",0,0.32373285,-0.07100731,64,4.33807,6.089133,22.419046578654036
406.0,1,weekend_bucket|eco_conscious|value_mass,406,Crossbody & Messenger Bags,"Hobo bag with single strap handle; Boxed puffer design; Lightweight construction; Zippered compartment; Inner zip-up pocket; Recycled polyester; Bag structure: Softside, Lightweight; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets",Puffer Hobo Shoulder Bag - Wild Fable™ Black,https://target.scene7.com/is/image/Target/GUEST_3751241b-b8ba-4345-81d5-d8bbd0db785c?wid=1200&hei=1200&qlt=85,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",USD,2026-02-23T16:44:52.646741,25,https://www.target.com/p/puffer-hobo-bag-wild-fable/-/A-90864021?preselect=90862916#lnk=sametab,Crossbody & Messenger Bags | bag / crossbody | Mid,14 Inches (H) x 17 Inches (W) x 6.5 Inches (D),47,4.7,Black,Puffer Hobo Shoulder Bag - Wild Fable™ Black,https://target.scene7.com/is/image/Target/GUEST_3751241b-b8ba-4345-81d5-d8bbd0db785c?wid=1200&hei=1200&qlt=85,https://www.target.com/p/puffer-hobo-bag-wild-fable/-/A-90864021?preselect=90862916#lnk=sametab,Wild Fable,90862916,100% Recycled Polyester,False,4.7,False,False,Black,False,,,,,,,,20-40,25.0,Proven winner,1,black,False,False,False,False,False,False,False,False,False,False,False,False,"Puffer Hobo Shoulder Bag - Wild Fable™ Black | Wild Fable | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Black",0,0.2706017,-0.010800578,-1,4.6926947,6.9654517,28.241421971580195
