is_sale,price_current,description,rating_count,segment_label,price_currency,average_rating,review_count,material_text,images_list,subcluster_label,image_url,name,product_id,dimensions,title,product_url,subcluster,mission_tags,category_breadcrumb,scrape_date,brand,color_options,image_count,url,rating,best_seller,is_new,colors,in_stock,price_original,price_regular,sku,care_instructions,availability_text,sold_shipped_by,promo_excluded,price_band,price_numeric,rating_quadrant,color_count,color_family,kw_tote,kw_clutch,kw_backpack,kw_crossbody,kw_convertible,kw_quilted,kw_faux_leather,kw_laptop,kw_organizer,kw_mini,kw_drawstring,is_clearance,style_text,cluster_kmeans,pca_x,pca_y,cluster_hdbscan,umap_x,umap_y,score_weight
False,30,Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle; Bag structure: Unstructured; Interior features: Credit Card Pockets; Exterior features: Detachable Handle,90.0,Wallets,USD,4.4,90,Polyurethane,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85,Wallets | wallet / solid | Budget,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85,Kiss Lock Clutch Bag - A New Day™ Black,94687138,7 Inches (H) x 13.5 Inches (W) x 5 Inches (D),Kiss Lock Clutch Bag - A New Day™ Black,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,19,occasion_glam|value_mass,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",2026-02-23T16:44:52.645735,A New Day,Black,1,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,4.4,False,False,Black,False,,,,,,,,20-40,30.0,Proven winner,1,black,False,True,False,False,False,False,False,False,False,False,False,False,"Kiss Lock Clutch Bag - A New Day™ Black | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Black",0,0.117154926,-0.10319361,-1,3.8141577,7.815789,19.84778182867414
False,35,Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure; Bag structure: Softside; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets,11.0,Shop All Accessories,USD,3.9,11,100% Recycled Polyester,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85,Shop All Accessories | bag / kids | Mid,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,94776900,14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D),Quilted Drawstring Tote Handbag - Universal Thread™ Pink,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,28,eco_conscious|weekend_bucket,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",2026-02-23T16:44:52.646741,Universal Thread,Pink,1,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,3.9,False,False,Pink,False,,,,,,,,20-40,35.0,Market mismatch,1,pastel,True,False,False,False,False,True,False,False,False,False,True,False,"Quilted Drawstring Tote Handbag - Universal Thread™ Pink | Universal Thread | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Pink",1,0.15388677,0.14899419,-1,5.587951,9.798486,9.691135934173202
True,8.5,Gold-tone chain bag charm; Metal construction; Five heart-shaped charms with printed phrases; Additional small gold-tone heart charms; Lobster claw clasp closure; Suggested for ages 15 and up,29.0,"Bags, Scarves & More",USD,4.8,29,Zinc Alloy,https://target.scene7.com/is/image/Target/GUEST_faba82f4-1b2d-4a51-8bea-67318e006232?wid=1200&hei=1200&qlt=85,"Bags, Scarves & More | bag / charm | Mid",https://target.scene7.com/is/image/Target/GUEST_faba82f4-1b2d-4a51-8bea-67318e006232?wid=1200&hei=1200&qlt=85,Conversation Heart Bag Charm - A New Day™,94794411,"11.42 Inches (L), 1.36 Inches (W)",Conversation Heart Bag Charm - A New Day™,https://www.target.com/p/conversation-heart-bag-charm-a-new-day-8482/-/A-94794411#lnk=sametab,13,micro_mini_impulse|gifting_ready,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Bag Charms & Straps",2026-02-23T16:44:52.646741,A New Day,,1,https://www.target.com/p/conversation-heart-bag-charm-a-new-day-8482/-/A-94794411#lnk=sametab,4.8,False,False,,False,10,10,,,,,,0-20,8.5,Proven winner,0,unknown,False,False,False,False,False,False,False,False,False,False,False,False,"Conversation Heart Bag Charm - A New Day™ | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Bag Charms & Straps",2,-0.20632905,0.19809037,-1,8.873072,9.1484165,16.325747431978346
True,25.5,Kiss structured clutch; Red polyurethane shell with vinyl finish; Zip-closure main compartment; Detachable metal shoulder strap; Bag structure: Structured; Interior features: No Compartments or Pockets; Exterior features: Detachable Straps,14.0,"Bags, Scarves & More",USD,4.6,14,Metal,https://target.scene7.com/is/image/Target/GUEST_82702f88-fb01-4f54-af1c-b284eeacb30e?wid=1200&hei=1200&qlt=85,"Bags, Scarves & More | charm / bag | Mid",https://target.scene7.com/is/image/Target/GUEST_82702f88-fb01-4f54-af1c-b284eeacb30e?wid=1200&hei=1200&qlt=85,Kiss Lip Clutch - A New Day™ Red,94742363,5.75 Inches (H) x 8.5 Inches (W) x 2.75 Inches (D),Kiss Lip Clutch - A New Day™ Red,https://www.target.com/p/kiss-lip-clutch-a-new-day-8482-red/-/A-94742363#lnk=sametab,14,occasion_glam|convertible_multiway|value_mass,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",2026-02-23T16:44:52.646741,A New Day,Red,1,https://www.target.com/p/kiss-lip-clutch-a-new-day-8482-red/-/A-94742363#lnk=sametab,4.6,False,False,Red,False,30,30,,,,,,20-40,25.5,Proven winner,1,bold,False,True,False,False,False,False,False,False,False,False,False,False,"Kiss Lip Clutch - A New Day™ Red | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Red",4,-0.11615978,-0.12211002,-1,4.0420814,8.119546,12.457030925070166
True,12.75,Conversation heart wristlet wallet; Polyurethane construction; Zip closure; Detachable loop strap; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,16.0,Shoulder Bags,USD,4.6,16,Polyurethane,https://target.scene7.com/is/image/Target/GUEST_c3bcb3dd-0448-4197-8fb6-6c8c4ea780b6?wid=1200&hei=1200&qlt=85,Shoulder Bags | bag / handbag | Mid,https://target.scene7.com/is/image/Target/GUEST_c3bcb3dd-0448-4197-8fb6-6c8c4ea780b6?wid=1200&hei=1200&qlt=85,Conversation Heart Wristlet - A New Day™ Pink,94742362,4.5 Inches (H) x 4.75 Inches (W) x .75 Inches (D),Conversation Heart Wristlet - A New Day™ Pink,https://www.target.com/p/conversation-heart-wristlet-a-new-day/-/A-94781667?preselect=94742362#lnk=sametab,42,slg_small_leathers|value_mass,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",2026-02-23T16:44:52.646741,A New Day,Pink,1,https://www.target.com/p/conversation-heart-wristlet-a-new-day/-/A-94781667?preselect=94742362#lnk=sametab,4.6,False,False,Pink,False,15,15,,,,,,0-20,12.75,Proven winner,1,pastel,False,False,False,False,False,False,False,False,False,False,False,False,"Conversation Heart Wristlet - A New Day™ Pink | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Pink",0,-0.10854408,0.06853857,-1,4.991282,9.188199,13.032781382658593
False,40,"Crescent-shape minaudiere clutch; Crafted from acrylic shell; Clasp closure; Top carrying handle; Bag structure: Hardside, Structured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets",9.0,Wallets,USD,3.9,9,Acrylic,https://target.scene7.com/is/image/Target/GUEST_2383dd5a-cb9c-4806-bd55-6769489211e9?wid=1200&hei=1200&qlt=85,Wallets | wallet / solid | Budget,https://target.scene7.com/is/image/Target/GUEST_2383dd5a-cb9c-4806-bd55-6769489211e9?wid=1200&hei=1200&qlt=85,Crescent Marble Minaudiere Clutch - A New Day™ Pink,94742370,8.62 Inches (H) x 9.05 Inches (W) x 1.96 Inches (D),Crescent Marble Minaudiere Clutch - A New Day™ Pink,https://www.target.com/p/crescent-marble-minaudiere-clutch-a-new-day/-/A-94781668?preselect=94742370#lnk=sametab,19,occasion_glam|gifting_ready,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",2026-02-23T16:44:52.646741,A New Day,Pink,1,https://www.target.com/p/crescent-marble-minaudiere-clutch-a-new-day/-/A-94781668?preselect=94742370#lnk=sametab,3.9,False,False,Pink,False,,,,,,,,40-70,40.0,Market mismatch,1,pastel,False,True,False,False,False,False,False,False,False,False,False,False,"Crescent Marble Minaudiere Clutch - A New Day™ Pink | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches | Pink",0,-0.042297456,0.031284302,-1,4.488693,8.56127,8.980081862676778
False,35,Faux leather slouchy shoulder bag; Polyurethane shell; Unstructured; No interior or exterior compartments; Magnetic closure; Carrying handle; 10.5in H 15.75in W x 5in D; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,390.0,Shoulder Bags,USD,4.3,390,Polyurethane,https://target.scene7.com/is/image/Target/GUEST_21c648d2-b83a-49d5-ad4a-bee5938769eb?wid=1200&hei=1200&qlt=85,Shoulder Bags | handbag / universal | Mid,https://target.scene7.com/is/image/Target/GUEST_21c648d2-b83a-49d5-ad4a-bee5938769eb?wid=1200&hei=1200&qlt=85,Oversized Slouchy Shoulder Bag - Universal Thread™ Black,94172689,10.5 Inches (H) x 15.75 Inches (W) x 5 Inches (D),Oversized Slouchy Shoulder Bag - Universal Thread™ Black,https://www.target.com/p/oversized-slouchy-shoulder-bag-universal-thread/-/A-94248767?preselect=94172689#lnk=sametab,48,weekend_bucket|oversized_carryall|value_mass,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",2026-02-23T16:44:52.646741,Universal Thread,Black,1,https://www.target.com/p/oversized-slouchy-shoulder-bag-universal-thread/-/A-94248767?preselect=94172689#lnk=sametab,4.3,False,False,Black,False,,,,,,,,20-40,35.0,Proven winner,1,black,False,False,False,False,False,False,False,False,False,False,False,False,"Oversized Slouchy Shoulder Bag - Universal Thread™ Black | Universal Thread | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Black",0,0.29224145,-0.01233891,61,4.6662664,6.5698853,25.665442507937072
False,40,"Keep yourself ready for quick trips with the Foundational Weekender Bag from Universal Thread™. This unstructured weekender bag features interior and exterior pockets to help provide ample space for your essential items. Designed with a removable strap and double handles, it offers multiple carrying options for your convenience. Universal Thread™: Found exclusively at Target.; Bag structure: Unstructured; Interior features: Zip Pocket, Accessories Pocket; Exterior features: Detachable Strap, Front Zip Pocket",133.0,Shoulder Bags,USD,4.6,133,Polyester,https://target.scene7.com/is/image/Target/GUEST_b2e9698f-b9d1-4304-a4c7-a312383c87ec?wid=1200&hei=1200&qlt=85,Shoulder Bags | bag / handbag | Mid,https://target.scene7.com/is/image/Target/GUEST_b2e9698f-b9d1-4304-a4c7-a312383c87ec?wid=1200&hei=1200&qlt=85,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",92450022,15 Inches (H) x 23 Inches (W) x 9 Inches (D),"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",https://www.target.com/p/foundational-weekender-bag-universal-thread/-/A-92750865?preselect=92450022#lnk=sametab,42,travel_utility|oversized_carryall|eco_conscious|convertible_multiway,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Weekender Bags",2026-02-23T16:44:52.646741,Universal Thread,Brown,1,https://www.target.com/p/foundational-weekender-bag-universal-thread/-/A-92750865?preselect=92450022#lnk=sametab,4.6,False,False,Brown,False,,,,,,,,40-70,40.0,Proven winner,1,neutral,False,False,False,False,False,False,False,False,False,False,False,False,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches | Universal Thread | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Weekender Bags | Brown",1,0.27701595,-0.059671808,-1,4.1915236,10.500635,22.53006307977419
False,35,Triple compartment tote handbag; Main compartment with zipper closure; Interior pocket; Double handles; Bag structure: Unstructured; Interior features: Accessories Pocket; Exterior features: No Compartments or Pockets,236.0,Shoulder Bags,USD,4.1,236,Polyurethane,https://target.scene7.com/is/image/Target/GUEST_fbb80f99-6aed-4e26-8c6c-83e57f76035a?wid=1200&hei=1200&qlt=85,Shoulder Bags | handbag / universal | Mid,https://target.scene7.com/is/image/Target/GUEST_fbb80f99-6aed-4e26-8c6c-83e57f76035a?wid=1200&hei=1200&qlt=85,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",90367010,13.39 Inches (H) x 21.26 Inches (W) x 6.3 Inches (D),"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",https://www.target.com/p/triple-compartment-work-tote-handbag-a-new-day/-/A-90564596?preselect=90367010#lnk=sametab,48,work_tote|value_mass,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",2026-02-23T16:44:52.646741,A New Day,Black,1,https://www.target.com/p/triple-compartment-work-tote-handbag-a-new-day/-/A-90564596?preselect=90367010#lnk=sametab,4.1,False,False,Black,False,,,,,,,,20-40,35.0,Proven winner,1,black,True,False,False,False,False,False,False,False,False,False,False,False,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles | A New Day | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Black",0,0.32373285,-0.07100731,64,4.33807,6.089133,22.419046578654036
False,25,"Hobo bag with single strap handle; Boxed puffer design; Lightweight construction; Zippered compartment; Inner zip-up pocket; Recycled polyester; Bag structure: Softside, Lightweight; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets",406.0,Crossbody & Messenger Bags,USD,4.7,406,100% Recycled Polyester,https://target.scene7.com/is/image/Target/GUEST_3751241b-b8ba-4345-81d5-d8bbd0db785c?wid=1200&hei=1200&qlt=85,Crossbody & Messenger Bags | bag / crossbody | Mid,https://target.scene7.com/is/image/Target/GUEST_3751241b-b8ba-4345-81d5-d8bbd0db785c?wid=1200&hei=1200&qlt=85,Puffer Hobo Shoulder Bag - Wild Fable™ Black,90862916,14 Inches (H) x 17 Inches (W) x 6.5 Inches (D),Puffer Hobo Shoulder Bag - Wild Fable™ Black,https://www.target.com/p/puffer-hobo-bag-wild-fable/-/A-90864021?preselect=90862916#lnk=sametab,47,weekend_bucket|eco_conscious|value_mass,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",2026-02-23T16:44:52.646741,Wild Fable,Black,1,https://www.target.com/p/puffer-hobo-bag-wild-fable/-/A-90864021?preselect=90862916#lnk=sametab,4.7,False,False,Black,False,,,,,,,,20-40,25.0,Proven winner,1,black,False,False,False,False,False,False,False,False,False,False,False,False,"Puffer Hobo Shoulder Bag - Wild Fable™ Black | Wild Fable | Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags | Black",0,0.2706017,-0.010800578,-1,4.6926947,6.9654517,28.241421971580195
