brand,color_count,description,dimensions,discount_percent,image_url,is_on_sale,leaf_category,material_text,mission_tags,name,original_price,price,product_id,product_name,product_url,rating,review_count,source,subcluster,timestamp,price_current,is_sale,text_raw,text_clean,silhouette,material,subcluster_score,segment_label
A New Day,2.0,Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle; Bag structure: Unstructured; Interior features: Credit Card Pockets; Exterior features: Detachable Handle,7 Inches (H) x 13.5 Inches (W) x 5 Inches (D),0.0,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85,False,Clutches,Polyurethane,,Kiss Lock Clutch Bag - A New Day™ Black,,30.0,94687138,Kiss Lock Clutch Bag - A New Day™ Black,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,4.4,90,target,1,2026-02-23T16:44:52.645735,30.0,False,Kiss Lock Clutch Bag - A New Day™ Black Clutches Polyurethane Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle; Bag structure: Unstructured; Interior features: Credit Card Pockets; Exterior features: Detachable Handle,kiss lock clutch new day black clutches polyurethane twill fabric clutch kiss lock clasp main compartment credit card slip kiss lock metal clasp detachable carrying handle structure unstructured interior credit card exterior detachable handle,clutch,unknown,0.06108855197966701,clutch – unknown | kiss lock / credit card | Entry
Universal Thread,4.0,Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure; Bag structure: Softside; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets,14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D),0.0,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85,False,Shoulder Bags,100% Recycled Polyester,,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,,35.0,94776900,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,3.9,11,target,1,2026-02-23T16:44:52.646741,35.0,False,Quilted Drawstring Tote Handbag - Universal Thread™ Pink Shoulder Bags 100% Recycled Polyester Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure; Bag structure: Softside; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets,quilted drawstring tote universal thread pink shoulder 100 recycled polyester universal thread quilted tote woven recycled polyester fabric interior double shoulder straps drawstring structure softside interior exterior,tote,recycled,-0.011392759094398826,tote – unknown | universal thread / interior exterior | Mid
A New Day,,Gold-tone chain bag charm; Metal construction; Five heart-shaped charms with printed phrases; Additional small gold-tone heart charms; Lobster claw clasp closure; Suggested for ages 15 and up,"11.42 Inches (L), 1.36 Inches (W)",15.0,https://target.scene7.com/is/image/Target/GUEST_faba82f4-1b2d-4a51-8bea-67318e006232?wid=1200&hei=1200&qlt=85,True,Bag Charms & Straps,Zinc Alloy,,Conversation Heart Bag Charm - A New Day™,10.0,8.5,94794411,Conversation Heart Bag Charm - A New Day™,https://www.target.com/p/conversation-heart-bag-charm-a-new-day-8482/-/A-94794411#lnk=sametab,4.8,29,target,3,2026-02-23T16:44:52.646741,8.5,True,Conversation Heart Bag Charm - A New Day™ Bag Charms & Straps Zinc Alloy Gold-tone chain bag charm; Metal construction; Five heart-shaped charms with printed phrases; Additional small gold-tone heart charms; Lobster claw clasp closure; Suggested for ages 15 and up,conversation heart charm new day charms straps zinc alloy gold tone chain charm metal construction five heart shaped charms printed phrases additional small gold tone heart charms lobster claw clasp suggested ages,accessory,unknown,0.032533576824388726,accessory – unknown | new day charms / day charms straps | Entry
A New Day,,Kiss structured clutch; Red polyurethane shell with vinyl finish; Zip-closure main compartment; Detachable metal shoulder strap; Bag structure: Structured; Interior features: No Compartments or Pockets; Exterior features: Detachable Straps,5.75 Inches (H) x 8.5 Inches (W) x 2.75 Inches (D),15.0,https://target.scene7.com/is/image/Target/GUEST_82702f88-fb01-4f54-af1c-b284eeacb30e?wid=1200&hei=1200&qlt=85,True,Clutches,Metal,,Kiss Lip Clutch - A New Day™ Red,30.0,25.5,94742363,Kiss Lip Clutch - A New Day™ Red,https://www.target.com/p/kiss-lip-clutch-a-new-day-8482-red/-/A-94742363#lnk=sametab,4.6,14,target,0,2026-02-23T16:44:52.646741,25.5,True,Kiss Lip Clutch - A New Day™ Red Clutches Metal Kiss structured clutch; Red polyurethane shell with vinyl finish; Zip-closure main compartment; Detachable metal shoulder strap; Bag structure: Structured; Interior features: No Compartments or Pockets; Exterior features: Detachable Straps,kiss lip clutch new day red clutches metal kiss structured clutch red polyurethane shell vinyl finish main compartment detachable metal shoulder structure structured interior exterior detachable straps,clutch,unknown,0.06108855197966701,clutch – unknown | minaudiere clutch / interior exterior | Mid
A New Day,4.0,Conversation heart wristlet wallet; Polyurethane construction; Zip closure; Detachable loop strap; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,4.5 Inches (H) x 4.75 Inches (W) x .75 Inches (D),15.0,https://target.scene7.com/is/image/Target/GUEST_c3bcb3dd-0448-4197-8fb6-6c8c4ea780b6?wid=1200&hei=1200&qlt=85,True,Clutches,Polyurethane,,Conversation Heart Wristlet - A New Day™ Pink,15.0,12.75,94742362,Conversation Heart Wristlet - A New Day™ Pink,https://www.target.com/p/conversation-heart-wristlet-a-new-day/-/A-94781667?preselect=94742362#lnk=sametab,4.6,16,target,0,2026-02-23T16:44:52.646741,12.75,True,Conversation Heart Wristlet - A New Day™ Pink Clutches Polyurethane Conversation heart wristlet wallet; Polyurethane construction; Zip closure; Detachable loop strap; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,conversation heart wristlet new day pink clutches polyurethane conversation heart wristlet wallet polyurethane construction detachable loop structure unstructured interior exterior,clutch,unknown,0.06108855197966701,clutch – unknown | minaudiere clutch / interior exterior | Mid
A New Day,3.0,"Crescent-shape minaudiere clutch; Crafted from acrylic shell; Clasp closure; Top carrying handle; Bag structure: Hardside, Structured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets",8.62 Inches (H) x 9.05 Inches (W) x 1.96 Inches (D),0.0,https://target.scene7.com/is/image/Target/GUEST_2383dd5a-cb9c-4806-bd55-6769489211e9?wid=1200&hei=1200&qlt=85,False,Clutches,Acrylic,,Crescent Marble Minaudiere Clutch - A New Day™ Pink,,40.0,94742370,Crescent Marble Minaudiere Clutch - A New Day™ Pink,https://www.target.com/p/crescent-marble-minaudiere-clutch-a-new-day/-/A-94781668?preselect=94742370#lnk=sametab,3.9,9,target,0,2026-02-23T16:44:52.646741,40.0,False,"Crescent Marble Minaudiere Clutch - A New Day™ Pink Clutches Acrylic Crescent-shape minaudiere clutch; Crafted from acrylic shell; Clasp closure; Top carrying handle; Bag structure: Hardside, Structured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets",crescent marble minaudiere clutch new day pink clutches acrylic crescent shape minaudiere clutch crafted acrylic shell clasp top carrying handle structure hardside structured interior exterior,clutch,unknown,0.06108855197966701,clutch – unknown | minaudiere clutch / interior exterior | Mid
Universal Thread,4.0,Faux leather slouchy shoulder bag; Polyurethane shell; Unstructured; No interior or exterior compartments; Magnetic closure; Carrying handle; 10.5in H 15.75in W x 5in D; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,10.5 Inches (H) x 15.75 Inches (W) x 5 Inches (D),0.0,https://target.scene7.com/is/image/Target/GUEST_21c648d2-b83a-49d5-ad4a-bee5938769eb?wid=1200&hei=1200&qlt=85,False,Shoulder Bags,Polyurethane,,Oversized Slouchy Shoulder Bag - Universal Thread™ Black,,35.0,94172689,Oversized Slouchy Shoulder Bag - Universal Thread™ Black,https://www.target.com/p/oversized-slouchy-shoulder-bag-universal-thread/-/A-94248767?preselect=94172689#lnk=sametab,4.3,390,target,4,2026-02-23T16:44:52.646741,35.0,False,Oversized Slouchy Shoulder Bag - Universal Thread™ Black Shoulder Bags Polyurethane Faux leather slouchy shoulder bag; Polyurethane shell; Unstructured; No interior or exterior compartments; Magnetic closure; Carrying handle; 10.5in H 15.75in W x 5in D; Bag structure: Unstructured; Interior features: No Compartments or Pockets; Exterior features: No Compartments or Pockets,oversized slouchy shoulder universal thread black shoulder polyurethane faux leather slouchy shoulder polyurethane shell unstructured interior exterior magnetic carrying handle 5in 75in 5in structure unstructured interior exterior,shoulder,leather,0.02078770549093766,shoulder – canvas_cotton | slouchy shoulder / cotton polyester | Mid
Universal Thread,1.0,"Keep yourself ready for quick trips with the Foundational Weekender Bag from Universal Thread™. This unstructured weekender bag features interior and exterior pockets to help provide ample space for your essential items. Designed with a removable strap and double handles, it offers multiple carrying options for your convenience. Universal Thread™: Found exclusively at Target.; Bag structure: Unstructured; Interior features: Zip Pocket, Accessories Pocket; Exterior features: Detachable Strap, Front Zip Pocket",15 Inches (H) x 23 Inches (W) x 9 Inches (D),0.0,https://target.scene7.com/is/image/Target/GUEST_b2e9698f-b9d1-4304-a4c7-a312383c87ec?wid=1200&hei=1200&qlt=85,False,Weekender Bags,Polyester,,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",,40.0,92450022,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches",https://www.target.com/p/foundational-weekender-bag-universal-thread/-/A-92750865?preselect=92450022#lnk=sametab,4.6,133,target,0,2026-02-23T16:44:52.646741,40.0,False,"Foundational Weekender Bag - Universal Thread™ Pucker Brown: 90% Recycled Nylon, Double Handle, Removable Strap, 48 Linear Inches Weekender Bags Polyester Keep yourself ready for quick trips with the Foundational Weekender Bag from Universal Thread™. This unstructured weekender bag features interior and exterior pockets to help provide ample space for your essential items. Designed with a removable strap and double handles, it offers multiple carrying options for your convenience. Universal Thread™: Found exclusively at Target.; Bag structure: Unstructured; Interior features: Zip Pocket, Accessories Pocket; Exterior features: Detachable Strap, Front Zip Pocket",foundational weekender universal thread pucker brown recycled nylon double handle removable linear inches weekender polyester keep yourself ready quick trips foundational weekender universal thread unstructured weekender interior exterior help provide ample space essential items designed removable double handles offers multiple carrying options convenience universal thread found exclusively structure unstructured interior exterior detachable front,weekender,nylon,,weekender – small group – Mid
A New Day,2.0,Triple compartment tote handbag; Main compartment with zipper closure; Interior pocket; Double handles; Bag structure: Unstructured; Interior features: Accessories Pocket; Exterior features: No Compartments or Pockets,13.39 Inches (H) x 21.26 Inches (W) x 6.3 Inches (D),0.0,https://target.scene7.com/is/image/Target/GUEST_fbb80f99-6aed-4e26-8c6c-83e57f76035a?wid=1200&hei=1200&qlt=85,False,Shoulder Bags,Polyurethane,,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",,35.0,90367010,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles",https://www.target.com/p/triple-compartment-work-tote-handbag-a-new-day/-/A-90564596?preselect=90367010#lnk=sametab,4.1,236,target,1,2026-02-23T16:44:52.646741,35.0,False,"Triple Compartment Work Tote Handbag - A New Day™ Black: Shell, Double Shoulder Handles Shoulder Bags Polyurethane Triple compartment tote handbag; Main compartment with zipper closure; Interior pocket; Double handles; Bag structure: Unstructured; Interior features: Accessories Pocket; Exterior features: No Compartments or Pockets",triple compartment work tote new day black shell double shoulder handles shoulder polyurethane triple compartment tote main compartment zipper interior double handles structure unstructured interior exterior,tote,unknown,-0.011392759094398826,tote – unknown | universal thread / interior exterior | Mid
Wild Fable,7.0,"Hobo bag with single strap handle; Boxed puffer design; Lightweight construction; Zippered compartment; Inner zip-up pocket; Recycled polyester; Bag structure: Softside, Lightweight; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets",14 Inches (H) x 17 Inches (W) x 6.5 Inches (D),0.0,https://target.scene7.com/is/image/Target/GUEST_3751241b-b8ba-4345-81d5-d8bbd0db785c?wid=1200&hei=1200&qlt=85,False,Shoulder Bags,100% Recycled Polyester,,Puffer Hobo Shoulder Bag - Wild Fable™ Black,,25.0,90862916,Puffer Hobo Shoulder Bag - Wild Fable™ Black,https://www.target.com/p/puffer-hobo-bag-wild-fable/-/A-90864021?preselect=90862916#lnk=sametab,4.7,406,target,2,2026-02-23T16:44:52.646741,25.0,False,"Puffer Hobo Shoulder Bag - Wild Fable™ Black Shoulder Bags 100% Recycled Polyester Hobo bag with single strap handle; Boxed puffer design; Lightweight construction; Zippered compartment; Inner zip-up pocket; Recycled polyester; Bag structure: Softside, Lightweight; Interior features: Zip Pocket; Exterior features: No Compartments or Pockets",puffer hobo shoulder black shoulder 100 recycled polyester hobo single handle boxed puffer design lightweight construction zippered compartment inner recycled polyester structure softside lightweight interior exterior,shoulder,recycled,0.02078770549093766,shoulder – recycled | recycled polyester / 100 recycled polyester | Mid
